Magnitude,Tsunami,Longitude,Latitude,Timestamp
5.375949367088608,0.0,-66.71046835443038,-17.19505063291139,645567560735.6962
5.366666666666668,0.0,-67.04985333333335,-22.34702666666667,678679279135.2
5.298863636363637,0.0,-66.34777272727273,-23.961215909090903,712237997421.3636
5.488571428571429,0.0,-65.1909285714286,-23.623300000000008,740993893365.8572
5.493670886075948,0.0,-68.72686075949368,-17.83988607594936,773092605583.1646
5.455555555555557,0.0,-68.96645454545455,-19.367494949494944,804738517404.6465
5.434693877551019,0.0,-61.07879591836735,-14.242122448979595,838149122324.898
5.552325581395349,0.0,-67.09527906976744,-18.417104651162788,869209903338.3721
5.480000000000003,0.0,-66.70582352941173,-17.33159999999999,897962291993.0588
5.474137931034485,0.0,-66.22777586206898,-19.924224137931034,933332800505.1724
5.517647058823528,0.0,-62.505666666666635,-19.987960784313728,962985150890.3922
5.406756756756758,0.0,-70.1145945945946,-18.229594594594595,994442082696.3513
5.403076923076923,0.0,-67.55843076923077,-20.654230769230768,1024579506723.0769
5.377777777777777,0.0,-66.3883650793651,-20.26598412698413,1056594192899.0476
5.453246753246752,0.0,-64.45540259740258,-19.220012987012986,1087947854450.909
5.3811594202898565,0.0,-66.11673913043478,-19.460681159420286,1120888423695.797
5.417117117117117,0.0,-64.88056756756752,-18.497459459459463,1151653122352.4324
5.374675324675329,0.0,-66.80948701298698,-20.08879220779222,1185188398296.039
5.386813186813186,0.0,-63.37458241758245,-18.09671428571428,1215505168168.022
5.331818181818182,0.0,-65.9362840909091,-17.76397727272728,1246646511698.2954
5.3017094017093935,0.0,-71.26687606837612,-31.923863247863267,1271479593114.4016
5.373469387755104,0.0,-67.89012244897958,-26.80252380952382,1306564030692.0408
5.375609756097562,0.0,-65.71153658536582,-22.32158536585366,1340888807364.756
5.4111111111111105,0.06944444444444445,-66.02651250000002,-22.68663472222223,1373261146023.0557
5.368367346938782,0.025510204081632654,-67.45336734693876,-19.08476326530612,1400033435704.3877
5.485572139303486,0.03482587064676617,-69.47215223880603,-24.857278606965178,1439968904634.0796
5.3224000000000045,0.008,-63.04696880000002,-22.8589944,1467322074397.36
5.363157894736844,0.008771929824561403,-67.3201543859649,-20.41254561403508,1497460474801.4912
5.371250000000002,0.025,-63.53601249999997,-15.024111249999995,1529887493693.125
5.381000000000003,0.04,-66.484988,-20.927124999999993,1561187632709.31
5.445360824742268,0.05154639175257732,-65.47195773195875,-21.065475257731954,1594521988783.0515
5.280952380952379,0.023809523809523808,-63.93007142857145,-20.024995238095237,1617603655085.5476
